,year,month,day,min_temp,max_temp,avg_temp,min_humidity,max_humidity,avg_humidity,min_uv_vis,max_uv_vis,avg_uv_vis,min_pressure,max_pressure,avg_pressure,min_wind_spd,max_wind_spd,avg_wind_spd,mode_wind_dir,avg_temp_future,max_temp_future,min_temp_future,mode_sky_desc_Cloudy,mode_sky_desc_Fair,mode_sky_desc_Mostly Cloudy,mode_sky_desc_Partly Cloudy
0,2015,1,1,70,81,75.20833333333333,60,93,79.33333333333333,5.0,10.0,8.958333333333334,30.11,30.2,30.15041666666667,0,13,5.125,90.0,64.95833333333333,72,56,0,0,1,0
1,2015,1,2,72,82,76.85714285714286,67,91,78.89285714285714,10.0,10.0,10.0,30.15,30.24,30.181428571428572,0,16,8.821428571428571,120.0,70.79166666666667,77,65,0,0,1,0
2,2015,1,3,76,82,78.25,65,85,77.125,10.0,10.0,10.0,30.16,30.25,30.19666666666667,9,15,11.75,110.0,68.72222222222223,77,59,0,0,1,0
3,2015,1,4,75,83,78.23076923076923,65,87,76.34615384615384,10.0,10.0,10.0,30.19,30.27,30.220000000000002,0,16,9.26923076923077,130.0,75.46153846153847,80,70,0,0,1,0
4,2015,1,5,73,84,77.17857142857143,56,93,77.5,7.0,10.0,9.821428571428571,30.24,30.32,30.269642857142856,0,10,6.25,50.0,76.64285714285714,79,75,0,0,0,1
5,2015,1,6,72,82,76.73076923076923,58,87,74.3076923076923,10.0,10.0,10.0,30.17,30.3,30.228076923076916,0,13,6.3076923076923075,110.0,73.65789473684211,79,71,0,0,1,0
6,2015,1,7,65,79,73.11111111111111,41,93,70.66666666666667,8.0,10.0,9.925925925925926,30.08,30.19,30.143703703703704,0,10,5.777777777777778,310.0,71.1219512195122,77,68,0,0,1,0
7,2015,1,8,56,72,64.95833333333333,45,76,60.5,9.0,10.0,9.958333333333334,30.18,30.28,30.214166666666667,7,16,10.666666666666666,340.0,69.82051282051282,78,63,0,0,1,0
8,2015,1,9,65,77,70.79166666666667,52,87,69.33333333333333,10.0,10.0,10.0,30.14,30.23,30.187083333333334,0,9,4.375,140.0,66.78571428571429,73,62,0,0,1,0
9,2015,1,10,59,77,68.72222222222223,62,96,77.36111111111111,0.5,10.0,7.861111111111111,30.21,30.3,30.249444444444446,6,14,8.63888888888889,60.0,67.33333333333333,77,56,0,0,1,0
10,2015,1,11,70,80,75.46153846153847,66,82,76.6923076923077,10.0,10.0,10.0,30.18,30.28,30.223846153846157,3,20,12.076923076923077,80.0,70.29166666666667,77,63,0,0,1,0
11,2015,1,12,75,79,76.64285714285714,74,90,81.52380952380952,2.0,10.0,9.452380952380953,30.06,30.2,30.13285714285714,0,22,13.642857142857142,100.0,66.70833333333333,74,58,1,0,0,0
12,2015,1,13,71,79,73.65789473684211,65,97,86.73684210526316,1.0,10.0,8.421052631578947,30.01,30.13,30.062894736842097,0,14,5.394736842105263,90.0,70.25,73,66,0,0,1,0
13,2015,1,14,68,77,71.1219512195122,66,100,85.7560975609756,0.06,10.0,7.213170731707318,30.0,30.09,30.04268292682926,0,10,5.658536585365853,330.0,74.45833333333333,81,69,0,0,1,0
14,2015,1,15,63,78,69.82051282051282,64,93,80.05128205128206,5.0,10.0,8.846153846153847,30.0,30.11,30.052564102564094,0,13,6.076923076923077,320.0,74.08333333333333,80,68,1,0,0,0
15,2015,1,16,62,73,66.78571428571429,56,84,69.28571428571429,9.0,10.0,9.892857142857142,30.01,30.11,30.052142857142858,3,14,8.285714285714286,330.0,74.1923076923077,78,71,0,0,1,0
16,2015,1,17,56,77,67.33333333333333,46,87,65.54166666666667,10.0,10.0,10.0,30.08,30.17,30.114583333333332,0,15,8.125,110.0,70.46428571428571,77,59,0,1,0,0
17,2015,1,18,63,77,70.29166666666667,35,90,63.208333333333336,10.0,10.0,10.0,30.05,30.15,30.099166666666665,0,10,3.5,310.0,59.458333333333336,66,53,0,1,0,0
18,2015,1,19,58,74,66.70833333333333,41,87,62.916666666666664,7.0,10.0,9.791666666666666,30.08,30.18,30.119583333333335,0,14,5.541666666666667,70.0,64.11111111111111,76,53,0,0,1,0
19,2015,1,20,66,73,70.25,55,76,64.66666666666667,10.0,10.0,10.0,30.0,30.1,30.036666666666672,0,10,4.958333333333333,100.0,61.291666666666664,70,56,1,0,0,0
20,2015,1,21,69,81,74.45833333333333,56,81,70.375,10.0,10.0,10.0,29.98,30.09,30.02791666666667,0,13,5.666666666666667,80.0,60.64,68,55,0,0,0,1
21,2015,1,22,68,80,74.08333333333333,56,84,69.45833333333333,10.0,10.0,10.0,30.07,30.18,30.124583333333334,0,14,8.833333333333334,100.0,63.625,72,54,0,0,0,1
22,2015,1,23,71,78,74.1923076923077,58,87,71.15384615384616,10.0,10.0,10.0,29.98,30.11,30.048461538461538,5,17,11.192307692307692,140.0,66.91666666666667,74,59,0,0,1,0
23,2015,1,24,59,77,70.46428571428571,59,87,74.67857142857143,10.0,10.0,10.0,29.91,30.01,29.946428571428573,5,21,10.142857142857142,290.0,67.54166666666667,74,61,1,0,0,0
24,2015,1,25,53,66,59.458333333333336,34,83,59.625,10.0,10.0,10.0,29.99,30.11,30.040000000000003,0,10,6.083333333333333,330.0,70.20833333333333,75,65,0,1,0,0
25,2015,1,26,53,76,64.11111111111111,37,89,67.88888888888889,6.0,10.0,9.703703703703704,29.85,29.99,29.93740740740741,0,20,9.703703703703704,280.0,73.85714285714286,84,68,0,1,0,0
